iter	Logloss
0	0.6616045895
1	0.6339338349
2	0.6076351479
3	0.5836821017
4	0.5639593003
5	0.5443487463
6	0.5262154685
7	0.5105190426
8	0.4966539295
9	0.4834307689
10	0.4708893841
11	0.4586362111
12	0.4469730819
13	0.4370436566
14	0.427541345
15	0.4199270988
16	0.4119064698
17	0.4043596816
18	0.3985097092
19	0.3938339767
20	0.3879745012
21	0.3829437697
22	0.3779657801
23	0.3737115353
24	0.3703498037
25	0.3671769287
26	0.3637640272
27	0.3606714527
28	0.3579414454
29	0.3554983508
30	0.3533515369
31	0.3507675866
32	0.3485373999
33	0.346077628
34	0.3441423484
35	0.3427309883
36	0.3414732418
37	0.3400162804
38	0.3385328284
39	0.3369651321
40	0.3355252204
41	0.334007722
42	0.3328817473
43	0.3315571989
44	0.3309095051
45	0.3302106433
46	0.3292469939
47	0.3282898966
48	0.3273023648
49	0.3265282515
50	0.3257141273
51	0.3248212169
52	0.3238664281
53	0.3231363078
54	0.3222108214
55	0.3214301071
56	0.3208434711
57	0.3207011051
58	0.3198756802
59	0.3192056543
60	0.3185784491
61	0.3177580986
62	0.317241057
63	0.3163614563
64	0.3157424799
65	0.3152510428
66	0.3147157107
67	0.314222403
68	0.3139561285
69	0.3135258368
70	0.3128897514
71	0.3124420145
72	0.3120539968
73	0.3117229085
74	0.3111969644
75	0.3106132507
76	0.3101734707
77	0.3095484653
78	0.3092268012
79	0.3089644972
80	0.3087825032
81	0.3084083138
82	0.3081964051
83	0.3080145324
84	0.3075873575
85	0.3071969462
86	0.3069096967
87	0.3063556018
88	0.3058738807
89	0.3056479522
90	0.305396089
91	0.3051750313
92	0.3047966208
93	0.304578159
94	0.3044265827
95	0.3040767491
96	0.303869573
97	0.3036430505
98	0.3034117066
99	0.3032159716
100	0.302897973
101	0.3027302381
102	0.3025567164
103	0.3023286706
104	0.3021063634
105	0.3016911973
106	0.3015474944
107	0.3012570456
108	0.3009879291
109	0.3006949067
110	0.3004406353
111	0.3002578074
112	0.3000604665
113	0.2998954577
114	0.2996078954
115	0.2992164383
116	0.2989933371
117	0.298798162
118	0.2986493875
119	0.2983744521
120	0.2981596159
121	0.2979861338
122	0.2977432739
123	0.2975696564
124	0.2973597461
125	0.29718582
126	0.296967028
127	0.2967700933
128	0.2966525698
129	0.2964354174
130	0.2958712945
131	0.2957317453
132	0.2954089827
133	0.2951569651
134	0.2948830926
135	0.294783644
136	0.2946920441
137	0.2946021593
138	0.2945015039
139	0.2944113895
140	0.2943029587
141	0.2941628068
142	0.2939889154
143	0.2936889818
144	0.2932363512
145	0.2930755211
146	0.2929727126
147	0.2928682086
148	0.2927658807
149	0.292619612
150	0.2925274145
151	0.2924042022
152	0.2922975341
153	0.2920692404
154	0.2918401485
155	0.2917138
156	0.2915536652
157	0.2914629756
158	0.2911645
159	0.2910492634
160	0.2909292072
161	0.2907948183
162	0.2907382868
163	0.2906499952
164	0.2905494046
165	0.2903569617
166	0.2901839661
167	0.2900737952
168	0.2898701616
169	0.2896435909
170	0.2895106973
171	0.2894039072
172	0.2893025539
173	0.2892145712
174	0.2890657072
175	0.2886806036
176	0.2886059895
177	0.2884872834
178	0.2884189859
179	0.2883116085
180	0.288193425
181	0.28811706
182	0.2878773596
183	0.2877305143
184	0.2876643265
185	0.2875880378
186	0.2875283996
187	0.2874204585
188	0.2873082634
189	0.2870406587
190	0.2869434807
191	0.28684063
192	0.286794049
193	0.2865591038
194	0.2864316713
195	0.286349163
196	0.2863076128
197	0.2862485148
198	0.2861875732
199	0.2858228272
